
data;

param V_count := 1371;
param E_count := 3184;
param D_count := 1;

param : h  s t :=
 1      1 0 1371
;
        
param : A :=

 1,0    1

 2,0    1

 3,0    1

 4,0    1

 5,0    1

 6,0    1

 7,0    1

 8,0    1

 9,0    1

 10,0    1

 11,0    1

 12,0    1

 13,0    1

 14,0    1

 15,0    1

 16,0    1

 17,0    1

 18,0    1

 19,0    1

 20,0    1

 21,0    1

 22,0    1

 23,0    1

 24,0    1

 25,0    1

 26,176    1

 27,176    1

 28,176    1

 29,176    1

 30,176    1

 31,176    1

 32,176    1

 33,176    1

 34,176    1

 35,176    1

 36,176    1

 37,176    1

 38,176    1

 39,176    1

 40,176    1

 41,176    1

 42,176    1

 43,176    1

 44,176    1

 45,176    1

 46,176    1

 47,176    1

 48,176    1

 49,378    1

 50,378    1

 51,378    1

 52,378    1

 53,378    1

 54,378    1

 55,378    1

 56,378    1

 57,378    1

 58,378    1

 59,378    1

 60,378    1

 61,378    1

 62,378    1

 63,378    1

 64,378    1

 65,378    1

 66,378    1

 67,378    1

 68,378    1

 69,378    1

 70,378    1

 71,378    1

 72,378    1

 73,378    1

 74,378    1

 75,378    1

 76,378    1

 77,378    1

 78,378    1

 79,378    1

 80,378    1

 81,378    1

 82,378    1

 83,389    1

 84,389    1

 85,389    1

 86,389    1

 87,389    1

 88,389    1

 89,389    1

 90,389    1

 91,389    1

 92,389    1

 93,389    1

 94,389    1

 95,389    1

 96,389    1

 97,389    1

 98,389    1

 99,389    1

 100,130    1

 101,130    1

 102,130    1

 103,130    1

 104,130    1

 105,130    1

 106,130    1

 107,130    1

 108,130    1

 109,130    1

 110,130    1

 111,130    1

 112,130    1

 113,130    1

 114,130    1

 115,130    1

 116,130    1

 117,130    1

 118,130    1

 119,130    1

 120,130    1

 121,27    1

 122,27    1

 123,27    1

 124,27    1

 125,27    1

 126,27    1

 127,27    1

 128,27    1

 129,27    1

 130,27    1

 131,27    1

 132,27    1

 133,27    1

 134,27    1

 135,27    1

 136,27    1

 137,27    1

 138,27    1

 139,27    1

 140,27    1

 141,27    1

 142,27    1

 143,27    1

 144,27    1

 145,27    1

 146,27    1

 147,27    1

 148,27    1

 149,27    1

 150,27    1

 151,27    1

 152,27    1

 153,27    1

 154,27    1

 155,27    1

 156,27    1

 157,27    1

 158,27    1

 159,27    1

 160,27    1

 161,27    1

 162,27    1

 163,27    1

 164,27    1

 165,27    1

 166,27    1

 167,27    1

 168,27    1

 169,27    1

 170,27    1

 171,27    1

 172,27    1

 173,27    1

 174,27    1

 175,27    1

 176,27    1

 177,27    1

 178,27    1

 179,27    1

 180,27    1

 181,27    1

 182,27    1

 183,27    1

 184,27    1

 185,27    1

 186,27    1

 187,27    1

 188,27    1

 189,27    1

 190,81    1

 191,81    1

 192,81    1

 193,81    1

 194,81    1

 195,81    1

 196,81    1

 197,81    1

 198,81    1

 199,81    1

 200,81    1

 201,81    1

 202,81    1

 203,81    1

 204,81    1

 205,81    1

 206,81    1

 207,81    1

 208,81    1

 209,81    1

 210,81    1

 211,81    1

 212,81    1

 213,81    1

 214,81    1

 215,81    1

 216,81    1

 217,81    1

 218,81    1

 219,81    1

 220,81    1

 221,81    1

 222,81    1

 223,81    1

